Category,id,Item.Title,Item.Price,Item.Total.Price,Item.Service.Fee,Item.Currency,Item.Brand,Item.Size,Item.Status,Item.URL,Item.Photo.URL,Item.Favorites,Seller.ID,Seller.Username,Seller.URL,Seller.Photo,Is.Business.Seller,Is.Promoted,Created.Date,Timestamp
Handbag,7741714316.0,Michael Kors Fringe Bag,45.0,47.95,2.95,USD,Michael Kors,Not Available,Very good,https://www.vinted.com/items/7741714316-michael-kors-fringe-bag,https://images1.vinted.net/t/06_010a4_9fiveRsmhBDc8LxVybyYTfwJ/f800/1765417650.webp?s=b240c195ca06438b57f3ab1a59c535bc3e569f18,11.0,309281167.0,marirod47,https://www.vinted.com/member/309281167-marirod47,Not Available,No,No,12/11/2025,1765417650000.0
Handbag,7737144278.0,CK Satchel Bag,50.0,53.2,3.2,USD,Calvin Klein,Not Available,Very good,https://www.vinted.com/items/7737144278-ck-satchel-bag,https://images1.vinted.net/t/06_013e8_fCfMSu5b947pdX4FZ7scSxPS/f800/1765368109.webp?s=0f07558550d1828e1d8cd279d248fe89acee5816,8.0,311325367.0,adrinyc,https://www.vinted.com/member/311325367-adrinyc,https://images1.vinted.net/t/05_01b93_GDiYSrPUD6Z6rQgm3GG8DjKu/f800/1763038061.webp?s=cc3dc3fa2e113e0e7faf2f6346bd4132e7ec1392,No,No,12/10/2025,1765368109000.0
Handbag,7741727282.0,Kate Spade Classic Black Nylon Tote,20.0,21.7,1.7,USD,Kate Spade,Not Available,Very good,https://www.vinted.com/items/7741727282-kate-spade-classic-black-nylon-tote,https://images1.vinted.net/t/05_026cc_DLtqsGU7SPJNwCvaRytLg63X/f800/1765419674.webp?s=59d6c9acbdd2729cbbf1b7348921049077db1cfd,27.0,265422528.0,gigim1027,https://www.vinted.com/member/265422528-gigim1027,Not Available,No,No,12/11/2025,1765419674000.0
Handbag,7692975463.0,Steve Madden mini satchel bag,20.0,21.7,1.7,USD,Steve Madden,Not Available,New without tags,https://www.vinted.com/items/7692975463-steve-madden-mini-satchel-bag,https://images1.vinted.net/t/05_00956_bXBrbfNKFpz1cwKSboFQNeDQ/f800/1764779383.webp?s=24a466084cd7c35e35c72a54c3b8a65d164609ca,113.0,310121243.0,karenc764,https://www.vinted.com/member/310121243-karenc764,https://images1.vinted.net/t/05_00664_4Maus8eAhG9Cxykrfu88uzFH/f800/1762532077.webp?s=be4824ede56d98fba258df09f63c9d6c662bb77f,No,No,12/3/2025,1764779383000.0
Handbag,7741649373.0,victoria secret black purse,30.0,32.2,2.2,USD,Victoria's Secret,Not Available,New without tags,https://www.vinted.com/items/7741649373-victoria-secret-black-purse,https://images1.vinted.net/t/05_00447_j1xeYq2zhrc2GLEGE2KjXw57/f800/1765411805.webp?s=79be70c2f3a099be4ea042323503d822f0bb1bcc,11.0,313797627.0,ashlynk5,https://www.vinted.com/member/313797627-ashlynk5,https://images1.vinted.net/t/05_01a80_Z3RnC5GM5XjvfV1apJFfLKW6/f800/1764543664.webp?s=5f03ef7e3073ec401c6507dacea89cbe080781bc,No,No,12/11/2025,1765411805000.0
Handbag,7734132888.0,This is brand new. Never used Nine West bag.,20.0,21.7,1.7,USD,Nine West,Not Available,New without tags,https://www.vinted.com/items/7734132888-this-is-brand-new-never-used-nine-west-bag,https://images1.vinted.net/t/06_02245_boDL8M9WVaFiqxijcgcfQmsD/f800/1765309241.webp?s=72035d37ae34fcad47dc17c8ee82298f410e1fbe,21.0,3123541227.0,crystalb2003,https://www.vinted.com/member/3123541227-crystalb2003,Not Available,No,No,12/9/2025,1765309241000.0
Handbag,7721863304.0,Steve Madden purse,13.0,14.35,1.35,USD,Steve Madden,Not Available,New without tags,https://www.vinted.com/items/7721863304-steve-madden-purse,https://images1.vinted.net/t/05_022ea_zUEnmsdJ3dJ6G4duBx6toKPW/f800/1765143493.webp?s=5d5d3f8d8f18409821de3c4f0e680c9721c574ce,35.0,315890937.0,ginafashion17,https://www.vinted.com/member/315890937-ginafashion17,https://images1.vinted.net/t/06_00bb6_muvzDSdHuLCP4Cr6JCeydyg1/f800/1765249214.webp?s=d8900d390eeda223ebff2f40465ce373a73a8f86,No,No,12/7/2025,1765143493000.0
Skirt,7740391040.0,Grey plaid mini skirt with belt #y2kfashion #miniskirt,9.0,10.15,1.15,USD,Zara,S / US 4-6,Very good,https://www.vinted.com/items/7740391040-grey-plaid-mini-skirt-with-belt-y2kfashion-miniskirt,https://images1.vinted.net/t/05_01a6a_UTdhmVag1VrLmo3K6L6u27ho/f800/1765394977.webp?s=1de5314618a016e3e30380b4ecbd579b57f77a50,45.0,3123566269.0,nya3x,https://www.vinted.com/member/3123566269-nya3x,Not Available,No,No,12/10/2025,1765394977000.0
Skirt,7741747828.0,Chainmail skirt,16.0,17.5,1.5,USD,Hot Topic,Adjustable,Very good,https://www.vinted.com/items/7741747828-chainmail-skirt,https://images1.vinted.net/t/01_0131a_x97buXeLpqJN7VfaPtbc3APo/f800/1765423767.webp?s=ce73f6e10ad1f2214bd24c821232b1b9f2ceb142,6.0,253247462.0,withsympathyy,https://www.vinted.com/member/253247462-withsympathyy,https://images1.vinted.net/t/02_004af_P7bLnqJVdbvMkXqkrGFFhFVv/f800/1763136035.webp?s=7e58b813f167447278f9a4cba737b9393da9c423,No,No,12/11/2025,1765423767000.0
Skirt,7741755700.0,2000s Playboy black velvet corset with pink ribbon bows and lace up back & matching skirt,15.0,16.45,1.45,USD,Playboy,Not Available,Very good,https://www.vinted.com/items/7741755700-2000s-playboy-black-velvet-corset-with-pink-ribbon-bows-and-lace-up-back-matching-skirt,https://images1.vinted.net/t/01_00f3b_ypKCrdzgKqfPXiyaDpCFEddX/f800/1765425457.webp?s=da6c3b81ecaae513d291b8b1e6de01649276f6c0,2.0,146991883.0,snooooopy,https://www.vinted.com/member/146991883-snooooopy,https://images1.vinted.net/t/01_00889_1687EUYpnxvzqmeKveoLwgcu/f800/1692820459.webp?s=24dd337b00d6468baaf874fe312399d4f4f97862,No,No,12/11/2025,1765425457000.0
